ID,Type,Strain
018NY6XC00VTMGK2RC6BCYAWMC,"","Afghani Wonder"
018NY6XC00VTFM2J0HNTJNXR9J,"","Afghani Yumbolt"
018NY6XC00VT8ECEG78ASPNX9M,"","Afghan Kush"
018NY6XC00VTRWKGJ7KAE8X889,"","Afghan Mango"
018NY6XC00VTEYSCQ2KCKRHQGY,"","Afghan OG"
018NY6XC00VTN1A3PJDW9EPNCT,"","Afghan Ooey Gooey"
018NY6XC00VTCEHWEFYMJZTY3S,"","Afghan Poison"
018NY6XC00VTKYFH0PG16EFB8T,"","Afghan Princess"
018NY6XC00VT52GV0KEED5EH35,"","Afghan Purple Kush"
018NY6XC00VTM1JW8W5B9XJQGC,"","Afghan Skunk"
018NY6XC00VTERVZA3N6MP87RQ,"","Afghan Skunk (Aficionado)"
018NY6XC00VT6E7SKC5Z7H7G44,"","Afghan Sour Kush"
018NY6XC00VTY414RR292326PX,"","Afghan Storm Auto"
018NY6XC00VTJX20VNQNSFHR8S,"","Afghan Widow"
018NY6XC00VT2GE3TV81T9P76H,"","Afghan Yumbolt"
018NY6XC00VTMDD6SNVP3GSV6Z,"","Afghooey"
018NY6XC00VT5BHTYGXP9Y71QG,"","Afgoo"
018NY6XC00VTXGW5FK7V7F2ZRN,"","Afgoo (Afgooey / Afghooey)"
018NY6XC00VTQKTY0PW8EEHPQA,"","Afgooberry"
018NY6XC00VT5C0V1611H2PBN0,"","Afgooey"
018NY6XC00VTRTR216RHDYYZY2,"","Afgooey Doja"
018NY6XC00VTBNE2A7MKDSZY71,"","Afgoo GAL329"
018NY6XC00VTD17A7Z03W67Z7C,"","Afgoo GAL6068"
018NY6XC00VTHDZT2MH69RQN2P,"","Afgooiest"
018NY6XC00VT6R9R29GW9D4XEP,"","Afgoo Kandy Kush"
018NY6XC00VTD18B7AQ5JKY59S,"","Afgoonie"
018NY6XC00VTX4Y7HC3VG3DP7J,"","Aficionado OG"
018NY6XC00VT2XQTHWPN4P9HRF,"","Afkansastan"
018NY6XC00VTC16EAKG9D2HX41,"","Afpak"
018NY6XC00VTVGGZCMK6FK7AJ2,"","African"
018NY6XC00VT0KRBM5Z2848JQK,"","African 75"
018NY6XC00VT59AH2RFS73WSEV,"","African Black"
018NY6XC00VTX7GXKPND05SPGZ,"","African Buzz"
018NY6XC00VTDZ74QQ2P4CN7NH,"","African Gold"
018NY6XC00VTJXFZS8P7A0T1R5,"","African Haze"
018NY6XC00VTE18XVV4CJW76AC,"","Africanistan"
018NY6XC00VTJASH9E4FMM3YQE,"","African Purple"
018NY6XC00VTZZ9PCDGWKM3RSW,"","African Queen"
018NY6XC00VT3B4MASNAAE23M5,"","African Sativa (Spirit)"
018NY6XC00VT0MQE0GQ2PN3N1Z,"","African Tangie"
018NY6XC00VTCRHHR74J2SFT4H,"","Afrikaner"
018NY6XC00VTG6TGED7110K2TR,"","Afrinomicon"
018NY6XC00VT2T8SGPX3GB89BR,"","Afrodite"
018NY6XC00VTA068MC7FVPYYYQ,"","Afropips Durban Poison"
018NY6XC00VTZ56GPEHSV71JSJ,"","Aftangie"
01E7BV103CREJPJT9TRGMWYKRQ,"Indica/Sativa","After Burner"
01E7BV10W543QBEVGY0TFZKKRK,"Sativa/Indica","After Chem"
018NY6XC00VTWJHW4ZASSV3K0T,"","Afterlife (Afterlife OG)"
018NY6XC00VT797NS4DEFR4Y7Q,"","After Life OG"
018NY6XC00VTCY0TZE9JZYJHKA,"","Afternoon Delight"
018NY6XC00VTH2V9TA40QTM389,"","After Party"
018NY6XC00VTECY0YTZTCK36V1,"","Afwreck"
018NY6XC00VTFGH84H439WJ09H,"","AG13 Haze"
01E7BVXJ12T7YWR8CX9X5XP4TY,"Sativa/Indica","Agape"
018NY6XC00VTCZHHJ8TQKKXG9V,"Hybrid","Agate"
018NY6XC00VTBV7AZFEPB05EJM,"","Agathlan"
018NY6XC00VT42C26KRX1QGNGQ,"","Agent 99"
018NY6XC00VT8KT5H4R06WZ3BX,"","Agent Blue"
018NY6XC00VTDXHTFFNFS0QQRA,"","Agent Cheese"
018NY6XC00VT6MKR7KNS8J5X3T,"","Agent D"
018NY6XC00VTN5176DKD1NXWXR,"","Agent O"
018NY6XC00VTNGSZVWKHJP2Q4T,"","Agent OgDog (AOD)"
018NY6XC00VTVDN9CGGFG4GA5R,"","Agent Orange"
018NY6XC00VT81WFS5E673AN8P,"","Agent Orange GAL19816"
018NY6XC00VTYD0W4ZRRWTSP4V,"","Agent Orange GAL5885"
018NY6XC00VTKRZDACNSH06JN3,"","Agent Orange GAL5906"
01E7C0YHY2DSDZSYE2V6QEKKB3,"-unknown-","Agent Orange x Berry White"
01E7C0YH5A9QT41F2YAGN0K5KZ,"-unknown-","Agent Orange x Raspberry Kush"
018NY6XC00VT44YCK7MBQHVYK6,"","Agent Tang"
018NY6XC00VTW75XETH0CE2H1J,"","Agent Tangie"
